Date,Close/Last,Volume,Open,High,Low
11/25/2015,$81.71,16323820,$80.91,$82.675,$80.82
11/24/2015,$80.86,15261910,$80.85,$81.11,$79.27
11/23/2015,$81.31,18734780,$80.45,$82.19,$79.97
11/20/2015,$79.95,20952660,$78.44,$80.785,$78.40
11/19/2015,$77.87,15680400,$78.06,$79.15,$77.403
11/18/2015,$77.69,16726570,$78.25,$78.31,$76.15
11/17/2015,$78.13,12456100,$78.90,$79.14,$77.47
11/16/2015,$78.30,17028510,$75.83,$78.75,$75.77
11/13/2015,$75.85,24211680,$77.15,$78.00,$75.64
11/12/2015,$78.76,18812170,$78.99,$80.50,$78.45
11/11/2015,$79.85,29577430,$82.28,$82.49,$78.12
11/10/2015,$81.43,21975330,$81.10,$82.43,$79.62
11/09/2015,$81.38,19080540,$83.44,$83.47,$80.22
11/06/2015,$83.61,38520430,$85.53,$86.35,$80.77
11/05/2015,$85.38,20630150,$85.22,$86.42,$84.20
11/04/2015,$85.40,23700250,$84.45,$85.60,$84.03
11/03/2015,$83.44,11635010,$84.00,$84.59,$83.13
11/02/2015,$84.35,13747280,$83.52,$84.83,$82.75
10/30/2015,$83.83,20660420,$82.70,$84.44,$82.60
10/29/2015,$82.22,16375850,$81.97,$82.53,$80.82
10/28/2015,$82.35,24937990,$79.48,$82.545,$79.2001
10/27/2015,$79.44,50755880,$82.11,$82.79,$78.25
10/26/2015,$76.35,24745230,$75.44,$77.42,$75.13
10/23/2015,$75.62,22463450,$73.98,$75.76,$72.84
10/22/2015,$70.99,10751510,$70.16,$71.63,$70.07
10/21/2015,$69.48,16856270,$71.66,$71.79,$68.89
10/20/2015,$71.79,11022080,$72.99,$73.00,$71.55
10/19/2015,$72.65,10884870,$71.80,$73.00,$71.522
10/16/2015,$71.99,15715120,$72.50,$73.64,$71.21
10/15/2015,$71.78,18171360,$69.34,$72.44,$69.26
10/14/2015,$68.54,12253630,$69.50,$69.70,$67.425
10/13/2015,$69.68,13045600,$69.49,$70.32,$68.38
10/12/2015,$70.30,15522900,$69.64,$70.47,$69.00
10/09/2015,$68.71,14739970,$68.20,$69.45,$67.31
10/08/2015,$67.70,18586720,$66.04,$68.41,$65.96
10/07/2015,$66.28,15786660,$64.84,$66.66,$64.38
10/06/2015,$63.92,9600334,$63.72,$64.73,$63.28
10/05/2015,$63.93,13579060,$63.47,$64.775,$62.20
10/02/2015,$63.20,22282630,$58.36,$63.24,$58.20
10/01/2015,$58.87,8128423,$59.50,$59.83,$58.23
09/30/2015,$58.97,16749870,$58.87,$60.08,$58.35
09/29/2015,$57.82,16749600,$57.30,$58.65,$57.20
09/28/2015,$57.39,20605160,$58.81,$60.12,$57.315
09/25/2015,$59.24,16999750,$60.63,$60.84,$58.92
09/24/2015,$59.92,20625330,$59.42,$60.34,$58.21
09/23/2015,$60.00,22643800,$61.96,$62.30,$59.68
09/22/2015,$61.90,14866380,$62.94,$63.27,$61.58
09/21/2015,$63.90,22339630,$65.38,$66.40,$62.96
09/18/2015,$65.75,20102640,$65.40,$65.75,$64.01
09/17/2015,$66.00,16565070,$66.41,$66.65,$65.60
09/16/2015,$67.23,25796990,$65.61,$68.08,$65.26
09/15/2015,$64.85,29008090,$61.45,$65.36,$61.11
09/14/2015,$62.60,26705380,$62.55,$63.26,$61.48
09/11/2015,$64.63,17727300,$63.37,$64.79,$62.70
09/10/2015,$63.83,13279660,$63.52,$64.25,$63.34
09/09/2015,$64.04,33098000,$62.73,$64.67,$62.53
09/08/2015,$60.91,50077490,$65.78,$66.81,$60.25
09/04/2015,$63.91,18145840,$65.405,$65.57,$63.34
09/03/2015,$66.47,15751070,$65.821,$66.89,$65.41
09/02/2015,$65.54,13331690,$65.69,$66.00,$64.971
09/01/2015,$64.83,23440420,$64.38,$66.84,$64.05
08/31/2015,$66.12,18450450,$69.18,$69.30,$66.02
08/28/2015,$70.07,10577560,$69.68,$70.50,$69.045
08/27/2015,$70.84,17694340,$70.84,$71.59,$70.02
08/26/2015,$68.66,26331660,$68.95,$69.45,$65.75
08/25/2015,$68.57,29439660,$68.84,$70.33,$67.49
08/24/2015,$65.80,31366440,$58.16,$67.48,$58.00
08/21/2015,$68.18,29074950,$69.32,$70.66,$68.18
08/20/2015,$70.32,20952680,$71.98,$72.78,$70.03
08/19/2015,$73.12,18172780,$73.15,$73.56,$72.81
08/18/2015,$73.88,11119290,$74.05,$75.13,$73.73
08/17/2015,$75.19,12656640,$74.85,$75.24,$74.16
08/14/2015,$74.76,12321870,$74.53,$75.49,$74.46
08/13/2015,$75.11,23178840,$74.00,$76.73,$73.66
08/12/2015,$73.38,41149810,$72.32,$73.85,$71.03
08/11/2015,$77.34,22889700,$79.481,$80.00,$76.15
08/10/2015,$80.47,11240080,$79.86,$80.99,$79.50
08/07/2015,$78.82,8723472,$79.65,$80.20,$78.66
08/06/2015,$78.96,9281352,$79.85,$80.75,$78.64
08/05/2015,$79.82,7476442,$79.59,$80.42,$79.48
08/04/2015,$78.87,8485033,$78.07,$79.354,$77.80
08/03/2015,$77.99,9263379,$78.20,$78.50,$77.11
07/31/2015,$78.34,12588690,$79.85,$79.905,$78.20
07/30/2015,$79.96,6849318,$80.11,$80.64,$79.45
